id, Label
354,Flying Lotus
355,Focus...
356,Fonzworth Bentley
357,Fort Minor
358,Foxx
359,Foxy Brown
360,Frank Ocean
361,Frankie J
362,Frayser Boy
363,Freak Nasty
364,Freaky Tah
365,Freddie Foxxx
366,Freddie Gibbs
367,Fredo Santana
368,Fredro Starr
369,Fredwreck
370,Free
371,Freekey Zekey
372,Freeway
373,French Montana
374,Frenkie
375,Fresh Kid Ice
376,Froggy Fresh
377,Frost
378,Full Blooded
379,Funkmaster Flex
380,Future
381,Grandmaster Caz
382,Grandmaster Flash
383,G. Dep
384,Gaeko
385,The Game
386,Gang Starr
387,Gangsta Blac
388,Gangsta Boo
389,Gary
390,Gee Money
391,General Woo
392,Ghostface Killah
393,Giggs
394,Gilbere Forte
395,Glasses Malone
396,GLC
397,Goldie Loc
398,GoldLink
399,Gorilla Zoe
400,Grafh
401,Grand Puba
402,Grandmaster Caz
403,Grandmaster Flash
404,Greydon Square
405,Grieves
406,Gucci Mane
407,Gudda Gudda
408,Guerilla Black
409,Guilty Simpson
410,Gunplay
411,Guru
412,GZA
413,Half a Mill
414,Hard Kaur
415,Hasan Salaam
416,Havoc
417,Heavy D
418,Heize
419,Hemlock Ernst
420,Hittman
421,Hodgy Beats
422,Honey Cocaine
423,Hoodie Allen
424,Hopsin
425,Hot Dollar
426,Huey
427,Hurricane Chris
428,Hurricane G
429,Hush
430,Hussein Fatal
431,Ice Cube
432,Iamsu!
433,Ice Cube
434,Iggy Azalea
435,IHeartMemphis
436,Ill Bill
437,Illmind
438,ILoveMakonnen
439,Immortal Technique
440,Imran Khan
441,Indo G
442,Inspectah Deck
443,Isaiah Rashad
444,Iyanya
445,Iyaz
446,Kanye West
447,Kendrick Lamar
448,J Dilla
449,J. Cole
450,J. Stalin
451,J. Valentine
452,J.I.D
453,J.R. Rotem
454,J.R. Writer
455,Ja Rule
456,Jack Parow
457,The Jacka
458,Jadakiss
459,Jaden Smith
460,Jae Millz
461,Jahlil Beats
462,Jake Miller
463,Jake One
464,Jam Master Jay
465,Jamal
466,Jamal Woolard
467,Jamie Foxx
468,Jarren Benton
469,Jay Burna
470,Jay Electronica
471,Jay Park
472,Jay Rock
473,Jay Z
474,Jayo Felony
475,Jazz Cartier
476,Jazze Pha
477,Jean Grae
478,Jeremiah Jae
479,Jeremih
480,Jermaine Dupri
481,Jeru the Damaja
482,Jewell
483,Jibbs
484,Jim Jones
485,Jim Jonsin
